127.0.0.1 - - [07/Jun/2019:11:47:18 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:19 +0530] "GET /olx_resale/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:19 +0530] "GET /olx_resale/index HTTP/1.1" 200 10961
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:19 +0530] "GET /olx_resale/images/bike1.jpg HTTP/1.1" 200 76659
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:19 +0530] "GET /olx_resale/images/laptops.jpg HTTP/1.1" 200 71722
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:19 +0530] "GET /olx_resale/images/swing.jpg HTTP/1.1" 200 23763
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:19 +0530] "GET /olx_resale/images/car1.jpg HTTP/1.1" 200 627660
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:37 +0530] "GET /olx_resale/index HTTP/1.1" 200 10961
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:37 +0530] "GET /olx_resale/images/car1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:37 +0530] "GET /olx_resale/images/bike1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:38 +0530] "GET /olx_resale/images/swing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:38 +0530] "GET /olx_resale/images/laptops.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:39 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:48 +0530] "GET /olx_resale/login?email=sd&psw=cgccg HTTP/1.1" 200 9602
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:47:51 +0530] "GET /olx_resale/cart? HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:48:18 +0530] "GET /olx_resale/cart? HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:48:27 +0530] "GET /olx_resale/cart? HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:48:41 +0530] "GET /olx_resale/cart? HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:49:57 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:49:57 +0530] "GET /olx_resale/images/vadinew.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:51:27 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:51:58 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:52:41 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:52:43 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:52:43 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:52:44 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:52:44 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:52:45 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:52:53 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:53:22 +0530] "GET /olx_resale/list? HTTP/1.1" 200 5560
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:54:59 +0530] "GET /olx_resale/list? HTTP/1.1" 200 6570
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:55:45 +0530] "GET /olx_resale/list? HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:58:14 +0530] "GET /olx_resale/list? HTTP/1.1" 200 5049
0:0:0:0:0:0:0:1 - - [07/Jun/2019:11:58:34 +0530] "GET /olx_resale/list? HTTP/1.1" 200 6596
